	Date	Code	CompanyName	CompanyNameEnglish	Sector17Code	Sector17CodeName	Sector33Code	Sector33CodeName	ScaleCategory	MarketCode	MarketCodeName
0	2023-07-14	13010	極洋	KYOKUYO CO.,LTD.	1	食品	0050	水産・農林業	TOPIX Small 2	0111	プライム
1	2023-07-14	13050	大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）	iFreeETF TOPIX (Yearly Dividend Type)	99	その他	9999	その他	-	0109	その他
2	2023-07-14	13060	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信	NEXT FUNDS TOPIX Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
3	2023-07-14	13080	日興アセットマネジメント株式会社　　上場インデックスファンドＴＯＰＩＸ	Nikko Exchange Traded Index Fund TOPIX	99	その他	9999	その他	-	0109	その他
4	2023-07-14	13090	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信	NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
5	2023-07-14	13110	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信	NEXT FUNDS TOPIX Core 30 Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
6	2023-07-14	13190	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信	NEXT FUNDS Nikkei 300 Index Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
7	2023-07-14	13200	大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）	iFreeETF Nikkei225 (Yearly Dividend Type)	99	その他	9999	その他	-	0109	その他
8	2023-07-14	13210	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信	NEXT FUNDS Nikkei 225 Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
9	2023-07-14	13220	日興アセットマネジメント株式会社　上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００	Listed Index Fund China A Share (Panda) E Fund CSI300	99	その他	9999	その他	-	0109	その他
10	2023-07-14	13240	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信	NEXT FUNDS Russian Equity Index Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
11	2023-07-14	13250	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信	NEXT FUNDS Ibovespa Linked Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
12	2023-07-14	13260	ワールド・ゴールド・トラスト・サービシズ・エルエルシー　ＳＰＤＲゴールド・シェア	SPDR Gold Shares	99	その他	9999	その他	-	0109	その他
13	2023-07-14	13280	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信	NEXT FUNDS Gold Price Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
14	2023-07-14	13290	ブラックロック・ジャパン株式会社　　ｉシェアーズ・コア　日経２２５　ＥＴＦ	iShares Core Nikkei 225 ETF	99	その他	9999	その他	-	0109	その他
15	2023-07-14	13300	日興アセットマネジメント株式会社　　上場インデックスファンド２２５	Nikko Exchange Traded Index Fund 225	99	その他	9999	その他	-	0109	その他
16	2023-07-14	13320	ニッスイ	Nissui Corporation	1	食品	0050	水産・農林業	TOPIX Mid400	0111	プライム
17	2023-07-14	13330	マルハニチロ	Maruha Nichiro Corporation	1	食品	0050	水産・農林業	TOPIX Mid400	0111	プライム
18	2023-07-14	13430	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信	NEXT FUNDS REIT INDEX ETF	99	その他	9999	その他	-	0109	その他
19	2023-07-14	13450	日興アセットマネジメント株式会社　上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型	Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index)Bi-Monthly Dividend Payment Type	99	その他	9999	その他	-	0109	その他
20	2023-07-14	13460	三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　日経２２５上場投信	MAXIS NIKKEI 225 ETF	99	その他	9999	その他	-	0109	その他
21	2023-07-14	13480	三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　トピックス上場投信	MAXIS TOPIX ETF	99	その他	9999	その他	-	0109	その他
22	2023-07-14	13490	ステート・ストリート・グローバル・アドバイザーズ・シンガポール・リミテッド　ＡＢＦ汎アジア債券インデックス・ファンド	ABF PAN ASIA BOND INDEX FUND	99	その他	9999	その他	-	0109	その他
23	2023-07-14	13560	シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸベア２倍上場投信	TOPIX Bear -2x ETF	99	その他	9999	その他	-	0109	その他
24	2023-07-14	13570	野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信	NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund	99	その他	9999	その他	-	0109	その他
25	2023-07-14	13580	日興アセットマネジメント株式会社　上場インデックスファンド日経レバレッジ指数	Listed Index Fund Nikkei Leveraged Index	99	その他	9999	その他	-	0109	その他
26	2023-07-14	13600	シンプレクス・アセット・マネジメント株式会社　日経平均ベア２倍上場投信	Nikkei225 Bear -2x ETF	99	その他	9999	その他	-	0109	その他
27	2023-07-14	13640	ブラックロック・ジャパン株式会社　ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ	iShares JPX-Nikkei 400 ETF	99	その他	9999	その他	-	0109	その他
28	2023-07-14	13650	大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス	iFreeETF Nikkei225 Leveraged Index	99	その他	9999	その他	-	0109	その他
29	2023-07-14	13660	大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス	iFreeETF Nikkei225 Double Inverse Index	99	その他	9999	その他	-	0109	その他
30	2023-07-14	13670	大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数	iFreeETF TOPIX Leveraged (2x) Index	99	その他	9999	その他	-	0109	その他
31	2023-07-14	13680	大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（−２倍）指数	iFreeETF TOPIX Double Inverse (-2x) Index	99	その他	9999	その他	-	0109	その他
32	2023-07-14	13690	アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　日経２２５	One ETF Nikkei225	99	その他	9999	その他	-	0109	その他
33	2023-07-14	13750	雪国まいたけ	YUKIGUNI MAITAKE CO.,LTD.	1	食品	0050	水産・農林業	TOPIX Small 2	0111	プライム
34	2023-07-14	13760	カネコ種苗	KANEKO SEEDS CO.,LTD.	1	食品	0050	水産・農林業	TOPIX Small 2	0112	スタンダード
35	2023-07-14	13770	サカタのタネ	SAKATA SEED CORPORATION	1	食品	0050	水産・農林業	TOPIX Small 1	0111	プライム
36	2023-07-14	13790	ホクト	HOKUTO CORPORATION	1	食品	0050	水産・農林業	TOPIX Small 1	0111	プライム
37	2023-07-14	13800	秋川牧園	AKIKAWA FOODS & FARMS CO.,LTD.	1	食品	0050	水産・農林業	-	0112	スタンダード
38	2023-07-14	13810	アクシーズ	AXYZ CO.,Ltd.	1	食品	0050	水産・農林業	-	0112	スタンダード
39	2023-07-14	13820	ホーブ	HOB Co.,Ltd.	1	食品	0050	水産・農林業	-	0112	スタンダード
40	2023-07-14	13830	ベルグアース	Berg Earth co.,ltd.	1	食品	0050	水産・農林業	-	0112	スタンダード
